time,ens_eco2_ppm
2026-05-25T22:13:51.3820000,420
2026-05-25T22:13:52.4330000,435
2026-05-25T22:13:53.4740000,443
2026-05-25T22:13:54.5150000,445
2026-05-25T22:13:55.5560000,437
2026-05-25T22:13:56.5960000,444
2026-05-25T22:13:57.6370000,441
2026-05-25T22:13:58.6890000,444
2026-05-25T22:13:59.7290000,430
2026-05-25T22:14:00.7700000,433
2026-05-25T22:14:01.8110000,435
2026-05-25T22:14:02.8550000,436
2026-05-25T22:14:03.8960000,435
2026-05-25T22:14:04.9370000,433
2026-05-25T22:14:05.9780000,433
2026-05-25T22:14:07.0290000,432
2026-05-25T22:14:08.0700000,437
2026-05-25T22:14:09.1110000,433
2026-05-25T22:14:10.1510000,442
2026-05-25T22:14:11.1920000,431
2026-05-25T22:14:12.2330000,435
2026-05-25T22:14:13.2840000,427
2026-05-25T22:14:14.3250000,452
2026-05-25T22:14:15.3660000,422
2026-05-25T22:14:16.4060000,445
2026-05-25T22:14:17.4470000,435
2026-05-25T22:14:18.4980000,439
2026-05-25T22:14:19.5390000,444
2026-05-25T22:14:20.5800000,437
2026-05-25T22:14:21.6210000,434
2026-05-25T22:14:22.6620000,436
2026-05-25T22:14:23.7030000,432
2026-05-25T22:14:24.7540000,443
2026-05-25T22:14:25.7950000,444
2026-05-25T22:14:26.8360000,434
2026-05-25T22:14:27.8760000,415
2026-05-25T22:14:28.9170000,412
2026-05-25T22:14:29.9690000,441
2026-05-25T22:14:31.0090000,423
2026-05-25T22:14:32.0500000,443
2026-05-25T22:14:33.0910000,427
2026-05-25T22:14:34.1320000,419
2026-05-25T22:14:35.1720000,423
2026-05-25T22:14:36.2230000,437
2026-05-25T22:14:37.2640000,432
2026-05-25T22:14:38.3050000,425
2026-05-25T22:14:39.3460000,441
2026-05-25T22:14:40.3870000,440
2026-05-25T22:14:41.4380000,436
2026-05-25T22:14:42.4790000,427
2026-05-25T22:14:43.5230000,432
2026-05-25T22:14:44.5640000,420
