time,ens_eco2_ppm
2026-05-25T12:03:26.8720000,490
2026-05-25T12:03:27.9120000,485
2026-05-25T12:03:28.9530000,496
2026-05-25T12:03:29.9940000,476
2026-05-25T12:03:31.0350000,475
2026-05-25T12:03:32.0760000,481
2026-05-25T12:03:33.1270000,484
2026-05-25T12:03:34.1680000,487
2026-05-25T12:03:35.2050000,481
2026-05-25T12:03:36.2560000,479
2026-05-25T12:03:37.2970000,477
2026-05-25T12:03:38.3380000,485
2026-05-25T12:03:39.3780000,497
2026-05-25T12:03:40.4190000,487
2026-05-25T12:03:41.4600000,485
2026-05-25T12:03:42.5110000,496
2026-05-25T12:03:43.5520000,475
2026-05-25T12:03:44.5930000,478
2026-05-25T12:03:45.6330000,481
2026-05-25T12:03:46.6740000,506
2026-05-25T12:03:47.7250000,492
2026-05-25T12:03:48.7660000,484
2026-05-25T12:03:49.8070000,488
2026-05-25T12:03:50.8470000,486
2026-05-25T12:03:51.8880000,484
2026-05-25T12:03:52.9390000,488
2026-05-25T12:03:53.9800000,482
2026-05-25T12:03:55.0210000,484
2026-05-25T12:03:56.0620000,477
2026-05-25T12:03:57.1020000,482
2026-05-25T12:03:58.1540000,480
2026-05-25T12:03:59.1940000,487
2026-05-25T12:04:00.2350000,497
2026-05-25T12:04:01.2760000,476
2026-05-25T12:04:02.3200000,478
2026-05-25T12:04:03.3610000,488
2026-05-25T12:04:04.4020000,493
2026-05-25T12:04:05.4430000,485
2026-05-25T12:04:06.4940000,484
2026-05-25T12:04:07.5350000,495
2026-05-25T12:04:08.5760000,492
2026-05-25T12:04:09.6160000,488
2026-05-25T12:04:10.6570000,491
2026-05-25T12:04:11.7080000,479
2026-05-25T12:04:12.7490000,497
2026-05-25T12:04:13.7900000,486
2026-05-25T12:04:14.8310000,489
2026-05-25T12:04:15.8750000,477
2026-05-25T12:04:16.9160000,496
2026-05-25T12:04:17.9560000,493
2026-05-25T12:04:19.0080000,471
2026-05-25T12:04:20.0490000,474
2026-05-25T12:04:21.0890000,491
2026-05-25T12:04:22.1300000,485
2026-05-25T12:04:23.1710000,486
2026-05-25T12:04:24.2120000,483
2026-05-25T12:04:25.2630000,486
2026-05-25T12:04:26.3040000,480
2026-05-25T12:04:27.3450000,481
2026-05-25T12:04:28.3850000,476
2026-05-25T12:04:29.4260000,481
2026-05-25T12:04:30.4700000,483
2026-05-25T12:04:31.5110000,483
2026-05-25T12:04:32.5620000,481
2026-05-25T12:04:33.6030000,495
2026-05-25T12:04:34.6440000,492
2026-05-25T12:04:35.6840000,482
2026-05-25T12:04:36.7250000,505
2026-05-25T12:04:37.7770000,489
2026-05-25T12:04:38.8170000,485
2026-05-25T12:04:39.8580000,482
2026-05-25T12:04:40.8990000,495
2026-05-25T12:04:41.9400000,493
2026-05-25T12:04:42.9910000,494
2026-05-25T12:04:44.0250000,479
2026-05-25T12:04:45.0760000,487
2026-05-25T12:04:46.1200000,504
2026-05-25T12:04:47.1600000,483
2026-05-25T12:04:48.2010000,495
2026-05-25T12:04:49.2420000,488
2026-05-25T12:04:50.2830000,494
2026-05-25T12:04:51.3240000,489
2026-05-25T12:04:52.3750000,493
2026-05-25T12:04:53.4160000,488
2026-05-25T12:04:54.4560000,494
2026-05-25T12:04:55.4970000,496
2026-05-25T12:04:56.5380000,492
2026-05-25T12:04:57.5860000,512
2026-05-25T12:04:58.6270000,479
2026-05-25T12:04:59.6670000,481
