Time,09C00 Aranet4  Temperature (°C) [09C00],09C05 Aranet4  Temperature (°C) [09C05],09C09 Aranet4  Temperature (°C) [09C09],09C0F Aranet4  Temperature (°C) [09C0F],09C00 Aranet4  Humidity (%) [09C00],09C05 Aranet4  Humidity (%) [09C05],09C09 Aranet4  Humidity (%) [09C09],09C0F Aranet4  Humidity (%) [09C0F],09C00 Aranet4  Pressure (hPa) [09C00],09C05 Aranet4  Pressure (hPa) [09C05],09C09 Aranet4  Pressure (hPa) [09C09],09C0F Aranet4  Pressure (hPa) [09C0F],09C00 Aranet4  CO₂ (ppm) [09C00],09C05 Aranet4  CO₂ (ppm) [09C05],09C09 Aranet4  CO₂ (ppm) [09C09],09C0F Aranet4  CO₂ (ppm) [09C0F],0D697 PM  PM1 (µg/m³) [0D697],0D699 PM  PM1 (µg/m³) [0D699],0D6A0 PM  PM1 (µg/m³) [0D6A0],0D6A3 PM  PM1 (µg/m³) [0D6A3],0D697 PM  PM2.5 (µg/m³) [0D697],0D699 PM  PM2.5 (µg/m³) [0D699],0D6A0 PM  PM2.5 (µg/m³) [0D6A0],0D6A3 PM  PM2.5 (µg/m³) [0D6A3],0D697 PM  PM10 (µg/m³) [0D697],0D699 PM  PM10 (µg/m³) [0D699],0D6A0 PM  PM10 (µg/m³) [0D6A0],0D6A3 PM  PM10 (µg/m³) [0D6A3],0195C Weight  Weight (kg) [0195C],01960 Weight  Weight (kg) [01960],01966 Weight  Weight (kg) [01966],019A0 Weight  Weight (kg) [019A0]
2026-05-22 00:16:01,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,
2026-05-22 00:16:03,,,,21.95,,,,58.0,,,,1019,,,,442,,,,,,,,,,,,,,,,
2026-05-22 00:16:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.162,
2026-05-22 00:16:20,,,23.35,,,,56.0,,,,1018,,,,502,,,,,,,,,,,,,,,,,
2026-05-22 00:16:21,22.80,,,,53.0,,,,1018,,,,471,,,,,,,,,,,,,,,,,,,
2026-05-22 00:16:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:16:31,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:16:33,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,
2026-05-22 00:16:35,,22.65,,,,59.0,,,,1019,,,,467,,,,,,,,,,,,,,,,,,
2026-05-22 00:16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,
2026-05-22 00:16:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:17:00,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:17:03,,,,21.95,,,,58.0,,,,1019,,,,436,0,,,,0,,,,0,,,,,,,
2026-05-22 00:17:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.161,
2026-05-22 00:17:18,,,23.40,,,,56.0,,,,1018,,,,493,,,,,,,,,,,,,,,,,
2026-05-22 00:17:22,22.75,,,,53.0,,,,1018,,,,452,,,,,,,,,,,,,,,,,,,
2026-05-22 00:17:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.222,,,
2026-05-22 00:17:33,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:17:36,,22.65,,,,59.0,,,,1019,,,,447,,,,,,0,,,,0,,,,0,,,,
2026-05-22 00:17:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,
2026-05-22 00:17:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:18:01,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
